ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcarta,Arta,Papunesia,16.4185,121.656,arta1239,,"Austronesian, Malayo-Polynesian, Northern Luzon","the Philippines, Luzon, Quirino Province",Arta
en,English,,,,stan1293,,,,
